alert_queue_rank,product_id,year_month,region_id,region,target_month,next_month_risk_label,split,split_row_number,model_scope,actual_risk_label_num,actual_risk_label,predicted_risk_label_num,predicted_risk_label,prob_low_risk,prob_medium_risk,high_risk_probability,high_risk_probability_pct,risk_score,risk_score_0_10,selected_high_risk_threshold,is_any_risk_alert,is_high_risk_alert,is_false_alarm,is_missed_high_risk,product_line,product_category,product_name,lifecycle_stage,units_sold,revenue,unique_customers,avg_discount_pct,market_demand_index,competitor_pressure_index,stockout_flag,backorder_units,campaign_flag,website_visits,demo_requests,estimated_gross_profit,estimated_gross_margin_pct,product_unit_share_category_region,unit_share_change_pct,risk_factor_under_trend,risk_factor_volatility,risk_factor_sales_drop,risk_factor_customer_drop,supply_pressure_score,customer_count_growth_pct,market_tailwind_score,high_competition_flag,margin_gap_vs_target,campaign_active_with_no_sales,commercial_pressure_score,demand_supply_mismatch_flag,revenue_at_risk_proxy,model_explained_class,model_explained_class_probability,model_explained_class_base_probability,model_high_risk_base_probability,model_driver_1,model_driver_1_contribution_pp,model_driver_1_direction,model_driver_2,model_driver_2_contribution_pp,model_driver_2_direction,model_driver_3,model_driver_3_contribution_pp,model_driver_3_direction,model_driver_4,model_driver_4_contribution_pp,model_driver_4_direction,model_driver_5,model_driver_5_contribution_pp,model_driver_5_direction,business_risk_indicators,risk_drivers,recommended_action,business_indicator_count,monitoring_priority,review_rank_within_split
282,1124,2025-12-01,6,Northern EU,2026-01-01,,scoring,1246,refit_model_current_scoring,,,1,Medium Risk,0.45639003819240903,0.5231433197779249,0.02046664202966621,2.046664202966621,2.0,2.820383019186287,0.39,1,0,,,Accessories,Connectivity Module,Connectivity Module Model 05,Mature,218.0,15958.91,5.0,0.141,,,0,0.0,False,262,2,5024.030000000001,0.3148103473232195,0.0680824484697064,0.1493756442873609,0,0,0,1,10.0,-0.2857142857142857,10.0,,0.0048103473232194,0,17.0,,2713.0147,Medium Risk,0.5231433197779249,0.33333333333332965,0.3333333333333305,Customers Lag 1M,3.2452323007822774,increases predicted class probability,Units Lag 1M,2.844763594995244,increases predicted class probability,Unit Share Lag 1M,2.158856214165102,increases predicted class probability,Customer Count Growth Pct,1.9292457849662281,increases predicted class probability,Customer Share Category Region,1.858933962087395,increases predicted class probability,Customer decline; Supply pressure; Declining customer base,Customer decline; Supply pressure; Declining customer base,Monitor next month and assign an owner if deterioration continues,3,2,533
283,1171,2025-12-01,3,Southern EU,2026-01-01,,scoring,1713,refit_model_current_scoring,,,1,Medium Risk,0.33751359250383456,0.6420200006184934,0.020466406877671605,2.0466406877671606,2.0,3.414764071869183,0.39,1,0,,,Accessories,Accessory Kit,Accessory Kit Model 12,Growth,175.0,8188.639999999999,3.0,0.1079999999999999,180.0,51.27,0,0.0,False,249,5,2571.1399999999994,0.313988647687528,0.1188858695652173,0.0652975390815827,0,0,0,0,8.302,0.0,49.17700000000001,0.0,0.093988647687528,0,1.6604,0.0,135.96417856,Medium Risk,0.6420200006184934,0.33333333333332965,0.3333333333333305,Unit Share Lag 1M,3.7287038921743108,increases predicted class probability,Units Lag 1M,3.4450953002646565,increases predicted class probability,Customers Lag 1M,3.320235319534954,increases predicted class probability,Units Vs 6M Avg Pct,-2.595815542960521,decreases predicted class probability,Revenue Lag 1M,2.595753838426733,increases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,534
284,1002,2025-12-01,5,Northern EU,2026-01-01,,scoring,25,refit_model_current_scoring,,,1,Medium Risk,0.4796595800398809,0.500002304345063,0.0203381156150568,2.03381156150568,2.0,2.703392677875883,0.39,1,0,,,IT,Laptop Pro,Laptop Pro Model 03,Mature,73.0,71675.14,2.0,0.192,,,0,0.0,False,364,3,18101.9,0.2525547909637847,0.051699716713881,0.7109811653012785,0,0,0,0,10.0,1.0,10.0,,-0.0374452090362152,0,2.0,,1433.5028,Medium Risk,0.500002304345063,0.33333333333332965,0.3333333333333305,Customer Share Category Region,-4.446841122298338,decreases predicted class probability,Customers Lag 1M,3.2262161630720882,increases predicted class probability,Units Lag 1M,3.195542086170855,increases predicted class probability,Revenue Lag 1M,2.582919794668601,increases predicted class probability,Unit Share Lag 1M,2.5487989332869088,increases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,538
285,1151,2025-12-01,8,Eastern EU,2026-01-01,,scoring,1518,refit_model_current_scoring,,,1,Medium Risk,0.3100815644787738,0.6696122651496664,0.02030617037155968,2.030617037155968,2.0,3.551123029463929,0.39,1,0,,,Services,Legacy Workstation,Legacy Workstation Model 12,Decline,54.0,31393.44,1.0,0.129,,,0,0.0,False,224,1,3421.98,0.1090030273840649,0.0919931856899489,,0,0,0,0,10.0,,10.0,,-0.070996972615935,0,2.0,,627.8688,Medium Risk,0.6696122651496664,0.33333333333332965,0.3333333333333305,Volatility 3M,11.979787062282814,increases predicted class probability,Revenue Volatility 3M,9.304574129313686,increases predicted class probability,Risk Factor Volatility,4.136874795416763,increases predicted class probability,Rolling Units Cv 6M,3.460797915291689,increases predicted class probability,Unit Share Lag 1M,-3.368962315321601,decreases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,540
286,1138,2025-12-01,5,Northern EU,2026-01-01,,scoring,1385,refit_model_current_scoring,,,1,Medium Risk,0.397796634583338,0.5819747998004687,0.020228565616193184,2.022856561619318,2.0,3.1121596551642754,0.39,1,0,,,Accessories,Connectivity Module,Connectivity Module Model 19,Growth,90.0,5699.42,3.0,0.1463333333333333,,,0,0.0,False,261,3,1428.0200000000004,0.2505553196641062,0.0578406169665809,2.0643958868894603,0,0,0,0,10.0,2.0,10.0,,-0.0594446803358937,0,2.0,,113.9884,Medium Risk,0.5819747998004687,0.33333333333332965,0.3333333333333305,Customers Lag 1M,3.092957089225177,increases predicted class probability,Units Lag 1M,3.069318835751955,increases predicted class probability,Revenue Lag 1M,2.471107268869254,increases predicted class probability,Mom Units Growth Pct,2.3730396311117077,increases predicted class probability,Revenue Percentile Category Region,-2.2435079901366355,decreases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,541
287,1094,2025-12-01,8,Eastern EU,2026-01-01,,scoring,948,refit_model_current_scoring,,,1,Medium Risk,0.2526165647228663,0.7273381422169191,0.02004529306021488,2.004529306021488,2.0,3.8371436416867444,0.39,1,0,,,Medical,Monitoring Device,Monitoring Device Model 15,Mature,421.0,324285.31,4.0,0.14225,,,0,0.0,True,6324,173,136641.4,0.4213616706843736,0.1929422548120989,1.246887818450117,0,0,0,0,10.0,1.0,10.0,,0.0313616706843735,0,2.0,,6485.7062,Medium Risk,0.7273381422169191,0.33333333333332965,0.3333333333333305,Unit Share Lag 1M,3.4421455165442336,increases predicted class probability,Units Lag 1M,3.4151716562538375,increases predicted class probability,Customers Lag 1M,3.1004952036405706,increases predicted class probability,Units Vs 6M Avg Pct,2.999813631858498,increases predicted class probability,Product Revenue Share Category Region,2.500316296279191,increases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,544
288,1104,2025-12-01,10,Northern EU,2026-01-01,,scoring,1041,refit_model_current_scoring,,,1,Medium Risk,0.24902546107610568,0.7309521383852516,0.02002240053864221,2.002240053864221,2.0,3.85498469731268,0.39,1,0,,,Accessories,Industrial Scanner,Industrial Scanner Model 05,New,57.0,85911.24,2.0,0.1315,,,0,0.0,True,3544,61,35742.69000000001,0.4160420685349205,0.1696428571428571,1.1268187830687832,0,1,0,0,10.0,1.0,10.0,,0.0760420685349205,0,2.0,,1718.2248000000002,Medium Risk,0.7309521383852516,0.33333333333332965,0.3333333333333305,Units Lag 1M,4.285285989309266,increases predicted class probability,Customers Lag 1M,4.204649881908479,increases predicted class probability,Unit Share Lag 1M,3.793014318633746,increases predicted class probability,Customer Count Growth Pct,2.8510306476088125,increases predicted class probability,Revenue Lag 1M,2.8504055496898255,increases predicted class probability,High sales volatility; Supply pressure,High sales volatility; Supply pressure,Monitor next month and assign an owner if deterioration continues,2,2,546
289,1124,2025-12-01,10,Northern EU,2026-01-01,,scoring,1241,refit_model_current_scoring,,,1,Medium Risk,0.29490637775268935,0.6854584673132652,0.01963515493404567,1.9635154934045669,2.0,3.6236438859067825,0.39,1,0,,,Accessories,Connectivity Module,Connectivity Module Model 05,Mature,58.0,4099.67,2.0,0.118,,,0,0.0,False,241,1,1190.3900000000003,0.2903623950220384,0.0546139359698681,,0,0,0,0,10.0,,10.0,,-0.0196376049779615,0,2.0,,81.99340000000001,Medium Risk,0.6854584673132652,0.33333333333332965,0.3333333333333305,Volatility 3M,11.088373131064348,increases predicted class probability,Revenue Volatility 3M,9.260393161672352,increases predicted class probability,Risk Factor Volatility,3.1524453039841123,increases predicted class probability,Customers Lag 1M,-2.9764624545125047,decreases predicted class probability,Rolling Units Mean 3M,2.924723976810044,increases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,555
290,1032,2025-12-01,9,Western EU,2026-01-01,,scoring,329,refit_model_current_scoring,,,1,Medium Risk,0.4295064386003524,0.5510596118463017,0.019433949553345646,1.9433949553345646,1.9,2.9496375547649647,0.39,1,0,,,IT,Laptop Standard,Laptop Standard Model 13,Mature,31.0,17659.09,2.0,0.059,,,0,0.0,False,292,1,3669.4100000000017,0.2077915679686779,0.0294117647058823,-0.0710186513629841,1,0,0,0,10.0,0.0,10.0,,-0.032208432031322,0,17.0,,3002.0453,Medium Risk,0.5510596118463017,0.33333333333332965,0.3333333333333305,Customers Lag 1M,3.4359440486104287,increases predicted class probability,Trend Slope 3M,2.6814108766706144,increases predicted class probability,Unit Share Lag 1M,2.228501989385237,increases predicted class probability,Revenue Lag 1M,2.2261586183859596,increases predicted class probability,Crm Activity Minutes,2.1685772047919696,increases predicted class probability,Sales below trend; Supply pressure,Sales below trend; Supply pressure,Monitor next month and assign an owner if deterioration continues,2,2,559
291,1177,2025-12-01,4,Southern EU,2026-01-01,,scoring,1774,refit_model_current_scoring,,,1,Medium Risk,0.4384250688350477,0.542269042662507,0.0193058885024451,1.9305888502445099,1.9,2.904404098336986,0.39,1,0,,,Accessories,Accessory Kit,Accessory Kit Model 18,Mature,94.0,6550.66,3.0,0.1166666666666666,146.77,59.09,0,0.0,False,239,1,1274.4399999999996,0.1945513887150302,0.0720858895705521,0.6061242062210742,1,0,0,0,8.184000000000001,0.0,25.896500000000003,0.0,-0.0254486112849698,0,16.6368,0.0,1089.82020288,Medium Risk,0.542269042662507,0.33333333333332965,0.3333333333333305,Units Acceleration 3M,-4.593310918251616,decreases predicted class probability,Units Vs 6M Avg Pct,-3.832145804907741,decreases predicted class probability,Customers Lag 1M,3.5598960438466554,increases predicted class probability,Unit Share Lag 1M,3.161632264595473,increases predicted class probability,Inventory Months Cover,-2.7916551914007934,decreases predicted class probability,Sales below trend; Supply pressure,Sales below trend; Supply pressure,Monitor next month and assign an owner if deterioration continues,2,2,562
292,1016,2025-12-01,6,Northern EU,2026-01-01,,scoring,166,refit_model_current_scoring,,,1,Medium Risk,0.2904494049221542,0.6903471925560798,0.019203402521766156,1.9203402521766155,1.9,3.64376998799806,0.39,1,0,,,IT,Laptop Pro,Laptop Pro Model 17,Mature,784.0,816802.4099999999,6.0,0.1161666666666666,,,0,0.0,False,351,3,257363.5299999999,0.3150866437820622,0.2295754026354319,9.938592713805871,0,0,0,0,10.0,1.0,10.0,,0.0250866437820622,0,2.0,,16336.048199999996,Medium Risk,0.6903471925560798,0.33333333333332965,0.3333333333333305,Customers Lag 1M,3.6459986511128326,increases predicted class probability,Unit Share Lag 1M,3.1732507387581403,increases predicted class probability,Units Lag 1M,2.9427687045787816,increases predicted class probability,Product Revenue Share Category Region,2.863520703900948,increases predicted class probability,Product Unit Share Category Region,2.85506573889909,increases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,563
293,1128,2025-12-01,3,Southern EU,2026-01-01,,scoring,1283,refit_model_current_scoring,,,1,Medium Risk,0.33703651944451696,0.6438065570703916,0.019156923485091185,1.9156923485091186,1.9,3.41060202020287,0.39,1,0,,,Accessories,Connectivity Module,Connectivity Module Model 09,Mature,167.0,18678.68,5.0,0.0836,,,0,0.0,False,288,3,7285.94,0.3900671781946048,0.0684426229508196,-0.1714840379637618,0,0,0,0,10.0,0.25,10.0,,0.0800671781946048,0,2.0,,373.5736,Medium Risk,0.6438065570703916,0.33333333333332965,0.3333333333333305,Customers Lag 1M,3.377086542513683,increases predicted class probability,Units Lag 1M,3.3700904443943127,increases predicted class probability,Unit Share Lag 1M,3.3556604553560305,increases predicted class probability,Revenue Lag 1M,2.4179486145208586,increases predicted class probability,Units Vs 6M Avg Pct,-2.3119124914698483,decreases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,564
294,1086,2025-12-01,1,Western EU,2026-01-01,,scoring,860,refit_model_current_scoring,,,1,Medium Risk,0.45886674165374003,0.5220978108017961,0.01903544754446347,1.903544754446347,1.9,2.800843529453615,0.39,1,0,,,Medical,Monitoring Device,Monitoring Device Model 07,Mature,161.0,110349.22,7.0,0.088,,,0,0.0,True,1585,35,45023.47,0.4080089555685124,0.0447098028325465,-0.6039837179036437,1,0,0,0,10.0,0.1666666666666666,10.0,,0.0180089555685123,0,17.0,,18759.3674,Medium Risk,0.5220978108017961,0.33333333333332965,0.3333333333333305,Unit Share Lag 1M,4.043378417879543,increases predicted class probability,Customers Lag 1M,3.2453195851715537,increases predicted class probability,Customer Share Category Region,3.1312736226345317,increases predicted class probability,Units Lag 1M,3.0931855594644633,increases predicted class probability,Trend Slope 3M,2.504135658377792,increases predicted class probability,Sales below trend; Supply pressure; Losing category share,Sales below trend; Supply pressure; Losing category share,Monitor next month and assign an owner if deterioration continues,3,2,568
295,1190,2025-12-01,4,Southern EU,2026-01-01,,scoring,1904,refit_model_current_scoring,,,1,Medium Risk,0.42492151237556774,0.5563159034781241,0.018762584146308162,1.8762584146308163,1.9,2.969205358853702,0.39,1,0,,,Services,Service Contract,Service Contract Model 11,Growth,110.0,19632.33,2.0,0.122,180.0,52.24,0,0.0,False,251,5,13552.63,0.690322035132865,0.0652818991097922,1.31826651024774,0,0,0,0,8.128,1.0,48.983,0.0,0.070322035132865,0,1.6256000000000002,0.0,319.1431564800001,Medium Risk,0.5563159034781241,0.33333333333332965,0.3333333333333305,Customer Share Category Region,-3.680265379367176,decreases predicted class probability,Units Lag 1M,3.240789798333373,increases predicted class probability,Customers Lag 1M,3.1250159353066542,increases predicted class probability,Unit Share Lag 1M,2.729807533210092,increases predicted class probability,Revenue Lag 1M,2.5324195093039736,increases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,572
296,1136,2025-12-01,2,Western EU,2026-01-01,,scoring,1362,refit_model_current_scoring,,,1,Medium Risk,0.4499686509755961,0.5313215038070761,0.01870984521732792,1.8709845217327918,1.9,2.8437059712086596,0.39,1,0,,,Accessories,Connectivity Module,Connectivity Module Model 17,Mature,60.0,4759.41,3.0,0.1043333333333333,,,0,0.0,False,266,3,1591.41,0.334371277112079,0.0324324324324324,0.6896251089799478,0,0,0,0,10.0,2.0,10.0,,0.0243712771120789,0,2.0,,95.1882,Medium Risk,0.5313215038070761,0.33333333333332965,0.3333333333333305,Customers Lag 1M,3.2870666504484487,increases predicted class probability,Units Vs 6M Avg Pct,2.9961801757317614,increases predicted class probability,Units Lag 1M,2.774471533432906,increases predicted class probability,Unit Share Lag 1M,2.5176516542415097,increases predicted class probability,Customer Share Category Region,-2.477636540484506,decreases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,573
297,1100,2025-12-01,3,Southern EU,2026-01-01,,scoring,1003,refit_model_current_scoring,,,1,Medium Risk,0.3595622301347432,0.6217841584027801,0.018653611462476603,1.8653611462476603,1.9,3.2954569066386665,0.39,1,0,,,Accessories,Industrial Scanner,Industrial Scanner Model 01,Growth,157.0,209342.13,3.0,0.1109999999999999,,,0,0.0,False,393,5,74865.35,0.3576219941967725,0.183411214953271,-0.6611725741554562,1,0,0,1,10.0,-0.5714285714285714,10.0,,0.0176219941967725,0,32.0,,66989.4816,Medium Risk,0.6217841584027801,0.33333333333332965,0.3333333333333305,Unit Share Lag 1M,4.246448888184519,increases predicted class probability,Customers Lag 1M,3.642316835824892,increases predicted class probability,Customer Share Category Region,3.240157226272391,increases predicted class probability,Customer Count Growth Pct,-2.8148527777345467,decreases predicted class probability,Units Vs 6M Avg Pct,-2.722007456750038,decreases predicted class probability,Sales below trend; Customer decline; Supply pressure; Losing category share; Declining customer base,Sales below trend; Customer decline; Supply pressure; Losing category share; Declining customer base,Monitor next month and assign an owner if deterioration continues,5,2,574
298,1168,2025-12-01,4,Southern EU,2026-01-01,,scoring,1684,refit_model_current_scoring,,,1,Medium Risk,0.48052210488226316,0.501045959401934,0.018431935715802785,1.8431935715802785,1.8,2.6895491541676977,0.39,1,0,,,Accessories,Accessory Kit,Accessory Kit Model 09,Growth,112.0,6809.969999999999,1.0,0.1435,146.77,59.09,0,0.0,False,220,1,1640.0499999999993,0.2408307231896762,0.0858895705521472,2.761370848318173,0,0,0,0,8.184000000000001,0.0,25.896500000000003,0.0,0.0208307231896762,0,1.6368000000000005,0.0,111.46558896,Medium Risk,0.501045959401934,0.33333333333332965,0.3333333333333305,Customer Share Category Region,-7.991214355588455,decreases predicted class probability,Customers Lag 1M,3.3541364432951517,increases predicted class probability,Units Lag 1M,3.0059320891317127,increases predicted class probability,Unit Share Lag 1M,2.500308509148772,increases predicted class probability,Revenue Lag 1M,2.4036111365814485,increases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,577
299,1135,2025-12-01,2,Western EU,2026-01-01,,scoring,1352,refit_model_current_scoring,,,1,Medium Risk,0.3810309273199822,0.6007355280533677,0.01823354462664967,1.8233544626649671,1.8,3.186013086533335,0.39,1,0,,,Accessories,Connectivity Module,Connectivity Module Model 16,Decline,47.0,3916.18,2.0,0.083,,,0,0.0,True,1039,7,1369.25,0.3496391892098933,0.0254054054054054,-0.023101673101673,0,0,0,0,10.0,1.0,10.0,,0.0396391892098933,0,2.0,,78.3236,Medium Risk,0.6007355280533677,0.33333333333332965,0.3333333333333305,Customer Share Category Region,-4.631072100385696,decreases predicted class probability,Units Lag 1M,4.109194174279083,increases predicted class probability,Customers Lag 1M,3.4810546774196878,increases predicted class probability,Unit Share Lag 1M,2.929311988790521,increases predicted class probability,Revenue Percentile Category Region,-2.855739811190936,decreases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,581
300,1068,2025-12-01,9,Western EU,2026-01-01,,scoring,689,refit_model_current_scoring,,,1,Medium Risk,0.48009055024341907,0.5017324823480507,0.018176967408530753,1.8176967408530753,1.8,2.6904320858255613,0.39,1,0,,,Medical,Medical Sensor,Medical Sensor Model 09,Mature,25.0,5767.07,2.0,0.0735,,,0,0.0,False,240,1,2897.82,0.5024769943836298,0.0152439024390243,-0.7822499440590737,1,0,0,0,10.0,1.0,10.0,,0.0524769943836297,0,17.0,,980.4019,Medium Risk,0.5017324823480507,0.33333333333332965,0.3333333333333305,Customers Lag 1M,3.4783556375792863,increases predicted class probability,Units Lag 1M,3.3157836555868347,increases predicted class probability,Unit Rank Category Region,-2.9990027495455482,decreases predicted class probability,Unit Share Lag 1M,2.783755057762077,increases predicted class probability,Trend Slope 3M,2.2043753461478506,increases predicted class probability,Sales below trend; Supply pressure; Losing category share,Sales below trend; Supply pressure; Losing category share,Monitor next month and assign an owner if deterioration continues,3,2,582
301,1152,2025-12-01,4,Southern EU,2026-01-01,,scoring,1524,refit_model_current_scoring,,,1,Medium Risk,0.4846448117242024,0.4972291701019865,0.01812601817381091,1.8126018173810912,1.8,2.6674060322480413,0.39,1,0,,,Services,Legacy Workstation,Legacy Workstation Model 13,Decline,62.0,39815.03,1.0,0.168,,,0,0.0,False,170,1,-971.6700000000056,-0.0244046029853551,0.0781841109709962,-0.4494535519125683,0,0,0,1,10.0,-0.5,10.0,,-0.2044046029853551,0,17.0,,6768.5551000000005,Medium Risk,0.4972291701019865,0.33333333333332965,0.3333333333333305,Customer Share Category Region,-5.173648623098422,decreases predicted class probability,Unit Share Lag 1M,4.193502692655073,increases predicted class probability,Customers Lag 1M,3.633751777637188,increases predicted class probability,Units Lag 1M,3.1584069250074918,increases predicted class probability,Revenue Lag 1M,2.535275121355923,increases predicted class probability,Customer decline; Supply pressure; Losing category share; Declining customer base; Margin below target,Customer decline; Supply pressure; Losing category share; Declining customer base; Margin below target,Monitor next month and assign an owner if deterioration continues,5,2,583
302,1040,2025-12-01,4,Southern EU,2026-01-01,,scoring,404,refit_model_current_scoring,,,1,Medium Risk,0.41547983569496993,0.5664011335922275,0.018119030712802846,1.8119030712802846,1.8,3.013195975089166,0.39,1,0,,,IT,Tablet Enterprise,Tablet Enterprise Model 01,Decline,57.0,16690.65,2.0,0.1655,,,0,0.0,False,337,5,1643.7900000000009,0.0984856791077639,0.0307941653160453,3.087225578311477,0,0,0,0,10.0,1.0,10.0,,-0.171514320892236,0,2.0,,333.81300000000005,Medium Risk,0.5664011335922275,0.33333333333332965,0.3333333333333305,Customers Lag 1M,3.2487246469823545,increases predicted class probability,Units Lag 1M,2.8218430768153415,increases predicted class probability,Revenue Lag 1M,2.8059882027855076,increases predicted class probability,Product Unit Share Category Region,-2.683962195903929,decreases predicted class probability,Unit Share Lag 1M,2.490733531568173,increases predicted class probability,Supply pressure; Margin below target,Supply pressure; Margin below target,Monitor next month and assign an owner if deterioration continues,2,2,584
303,1016,2025-12-01,3,Southern EU,2026-01-01,,scoring,163,refit_model_current_scoring,,,1,Medium Risk,0.12443848002133479,0.8575397961133021,0.01802172386536315,1.8021723865363148,1.8,4.467916219220142,0.39,1,0,,,IT,Laptop Pro,Laptop Pro Model 17,Mature,495.0,503099.66,6.0,0.1407142857142857,,,0,0.0,False,358,1,149882.50999999995,0.2979181301772296,0.2339319470699433,3.4970338772261464,0,0,0,0,10.0,2.0,10.0,,0.0079181301772296,0,2.0,,10061.9932,Medium Risk,0.8575397961133021,0.33333333333332965,0.3333333333333305,Customers Lag 1M,3.643955137929564,increases predicted class probability,Unit Share Lag 1M,3.3052777447513093,increases predicted class probability,Units Lag 1M,2.9690969011545825,increases predicted class probability,Customer Count Growth Pct,2.753595063561971,increases predicted class probability,Product Revenue Share Category Region,2.6671975689684966,increases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,586
304,1084,2025-12-01,5,Northern EU,2026-01-01,,scoring,845,refit_model_current_scoring,,,1,Medium Risk,0.410298559514342,0.5717572242197331,0.017944216265925093,1.7944216265925093,1.8,3.0382282837579164,0.39,1,0,,,Medical,Monitoring Device,Monitoring Device Model 05,New,72.0,53526.32,4.0,0.0752,,,0,0.0,False,308,5,24678.8,0.4610591574388076,0.0338504936530324,0.1215371104665088,0,0,0,0,10.0,3.0,10.0,,0.0710591574388076,0,2.0,,1070.5264,Medium Risk,0.5717572242197331,0.33333333333332965,0.3333333333333305,Customers Lag 1M,3.4224485503393547,increases predicted class probability,Customer Share Category Region,3.174442251503419,increases predicted class probability,Revenue Percentile Category Region,-3.062054939008191,decreases predicted class probability,Units Lag 1M,2.834112023260602,increases predicted class probability,Unit Share Lag 1M,2.6093846775787877,increases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,588
305,1128,2025-12-01,8,Eastern EU,2026-01-01,,scoring,1288,refit_model_current_scoring,,,1,Medium Risk,0.39533391734395174,0.5868839996670779,0.017782082988970292,1.7782082988970291,1.8,3.1122408282250924,0.39,1,0,,,Accessories,Connectivity Module,Connectivity Module Model 09,Mature,54.0,6060.51,3.0,0.1053333333333333,,,0,0.0,False,262,5,2376.63,0.3921501655801244,0.035667107001321,-0.7006760432046002,1,0,0,0,10.0,-0.25,10.0,,0.0821501655801244,0,17.0,,1030.2867,Medium Risk,0.5868839996670779,0.33333333333332965,0.3333333333333305,Customers Lag 1M,3.3216734302616056,increases predicted class probability,Units Lag 1M,3.125792515055175,increases predicted class probability,Unit Share Lag 1M,3.072556443545461,increases predicted class probability,Customer Share Category Region,3.0379485269804127,increases predicted class probability,Trend Slope 3M,2.7469782277844317,increases predicted class probability,Sales below trend; Supply pressure; Losing category share; Declining customer base,Sales below trend; Supply pressure; Losing category share; Declining customer base,Monitor next month and assign an owner if deterioration continues,4,2,589
306,1078,2025-12-01,3,Southern EU,2026-01-01,,scoring,783,refit_model_current_scoring,,,1,Medium Risk,0.3527553047760178,0.6295262210947475,0.01771847412923467,1.771847412923467,1.8,3.3248158467660844,0.39,1,0,,,Medical,Medical Sensor,Medical Sensor Model 19,Mature,86.0,14838.21,3.0,0.14,,,0,0.0,False,248,5,5600.089999999998,0.3774100784393804,0.0522478736330498,0.3154170538203132,0,0,0,0,10.0,0.0,10.0,,-0.0725899215606196,0,2.0,,296.7642,Medium Risk,0.6295262210947475,0.33333333333332965,0.3333333333333305,Customers Lag 1M,3.5767977990920103,increases predicted class probability,Units Lag 1M,3.3214110910592947,increases predicted class probability,Unit Share Lag 1M,2.845749318213311,increases predicted class probability,Revenue Vs Lag 1M Pct,2.3416814472046403,increases predicted class probability,Revenue Lag 1M,2.1033677052887803,increases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,592
307,1108,2025-12-01,7,Eastern EU,2026-01-01,,scoring,1087,refit_model_current_scoring,,,1,Medium Risk,0.4146092373250067,0.5676907239671617,0.017700038707831302,1.7700038707831303,1.8,3.0154540069141214,0.39,1,0,,,Accessories,Industrial Scanner,Industrial Scanner Model 09,Mature,29.0,33642.58,1.0,0.191,,,0,0.0,False,318,10,5576.960000000003,0.1657708772632777,0.0431547619047619,0.6100045787545788,1,0,0,1,10.0,-0.5,10.0,,-0.1742291227367222,0,32.0,,10765.6256,Medium Risk,0.5676907239671617,0.33333333333332965,0.3333333333333305,Customers Lag 1M,3.6150100536196486,increases predicted class probability,Unit Share Lag 1M,2.955061946518411,increases predicted class probability,Mom Units Growth Pct,2.610201641169044,increases predicted class probability,Revenue Lag 1M,2.6035845429981332,increases predicted class probability,Units Acceleration 3M,-2.572603994364752,decreases predicted class probability,Sales below trend; Customer decline; Supply pressure; Declining customer base; Margin below target,Sales below trend; Customer decline; Supply pressure; Declining customer base; Margin below target,Monitor next month and assign an owner if deterioration continues,5,2,593
308,1021,2025-12-01,3,Southern EU,2026-01-01,,scoring,213,refit_model_current_scoring,,,1,Medium Risk,0.4341267593448326,0.5482075173337435,0.01766572332142392,1.766572332142392,1.8,2.9176948198829566,0.39,1,0,,,IT,Laptop Standard,Laptop Standard Model 02,Growth,107.0,54922.16,2.0,0.142,,,0,0.0,False,313,2,14617.4,0.2661475805030246,0.0544806517311608,1.3218030939896863,0,0,0,0,10.0,0.0,10.0,,0.0261475805030246,0,2.0,,1098.4432000000002,Medium Risk,0.5482075173337435,0.33333333333332965,0.3333333333333305,Customer Share Category Region,-3.91903250973014,decreases predicted class probability,Customers Lag 1M,3.7376160201097277,increases predicted class probability,Units Lag 1M,2.9598513513876115,increases predicted class probability,Unit Share Lag 1M,2.680279715633785,increases predicted class probability,Revenue Lag 1M,2.2209541617821165,increases predicted class probability,Supply pressure,Supply pressure,Monitor next month and assign an owner if deterioration continues,1,2,595
